branch_id	model	sigma2	alpha	theta	jump_mean	jump_variance
1	BM	0.18844631090633321				
2	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
3	BM	0.18844631090633321				
4	OU	0.18844631090633321	1.2253429920206087	-1.2		
5	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
6	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
7	BM	0.18844631090633321				
8	BM	0.18844631090633321				
9	OU	0.18844631090633321	1.2253429920206087	-1.2		
10	OU	0.18844631090633321	1.2253429920206087	-1.2		
11	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
12	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664	0.90000000000000002	0.059999999999999998
13	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
14	OU	0.18844631090633321	1.2253429920206087	2.4878212065814664		
