simulation	branch_id	parent	node_class	name	value
1	0	-1	root	R	0.58908000419375539
1	1	0	intnode	I	1.121143755477779
1	3	1	leaf	A	1.1578767398302252
1	4	1	leaf	B	0.60235616579441986
1	2	0	leaf	C	0.65102228908840787
2	0	-1	root	R	-0.68661555182834921
2	1	0	intnode	I	-1.7902877216129116
2	3	1	leaf	A	-1.528100073128337
2	4	1	leaf	B	-0.8492938169706945
2	2	0	leaf	C	0.37083043262869997
3	0	-1	root	R	1.0119405154636218
3	1	0	intnode	I	0.27531654776402215
3	3	1	leaf	A	0.3686053647896031
3	4	1	leaf	B	1.1306956817933256
3	2	0	leaf	C	1.4505031528163579
