branch_id	model	sigma2	alpha	theta	jump_mean	jump_variance
1	BM	0.25				
2	OU	0.34999999999999998	1.8	2.5		
3	BM	0.25				
4	OU	0.20000000000000001	2	-1.2		
5	OU	0.34999999999999998	1.8	2.5		
6	OU	0.34999999999999998	1.8	2.5		
7	BM	0.25				
8	BM	0.25				
9	OU	0.20000000000000001	2	-1.2		
10	OU	0.20000000000000001	2	-1.2		
11	OU	0.34999999999999998	1.8	2.5		
12	OU	0.34999999999999998	1.8	2.5	0.90000000000000002	0.059999999999999998
13	OU	0.34999999999999998	1.8	2.5		
14	OU	0.34999999999999998	1.8	2.5		
