branch_id	parent	node_class	name	trait	observed_value	observed_se	is_imputed	mean	variance	sd	ci_lower	ci_upper	ci_level
0	-1	root	Root	x			False	-0.030257674854817895	0.13424119197969556	0.36638939938226317	-0.7483677019613155	0.6878523522516797	0.95
1	0	intnode	Left	x			False	-0.03252951792051359	0.1451520131384693	0.3809882060359209	-0.779252680285444	0.7141936444444168	0.95
2	0	intnode	Right	x			False	1.9339801729411141	0.09293787510859475	0.30485713885129007	1.3364711603626591	2.531489185519569	0.95
3	1	intnode	AB	x			False	-0.07426383673256703	0.07833596620114405	0.2798856305728182	-0.6228295924455733	0.4743019189804392	0.95
4	1	intnode	CD	x			False	-0.6518649678504429	0.06742205457954117	0.25965757177394455	-1.1607844568404984	-0.14294547886038755	0.95
5	2	intnode	EF	x			False	2.1161398469679855	0.08157826180989634	0.28561908516395806	1.5563367267493493	2.6759429671866215	0.95
6	2	intnode	GH	x			False	2.1780121583580665	0.08748281538428218	0.2957749404264705	1.5983039275927045	2.7577203891234285	0.95
7	3	leaf	A	x	-0.4	0.1	False	-0.38239263982338206	0.00968834467845477	0.09842938930245768	-0.5753106978764712	-0.18947458177029297	0.95
8	3	leaf	B	x	0.2	0.1	False	0.18517492774418556	0.00968834467845477	0.09842938930245768	-0.007743130308903529	0.3780929857972747	0.95
9	4	leaf	C	x	-0.9	0.1	False	-0.9357121385668967	0.008348084767822748	0.0913678541272736	-1.1147898420010622	-0.7566344351327312	0.95
10	4	leaf	D	x			True	-1.1093938885903747	0.05047603538379297	0.22466872364393084	-1.5497364953850616	-0.6690512817956877	0.95
11	5	leaf	E	x	2.0	0.1	False	2.0385004257367565	0.009060504649965648	0.09518668315455502	1.851937954946003	2.22506289652751	0.95
12	5	leaf	F	x	3.0	0.1	False	3.0172836811659574	0.009397669571620429	0.09694157813663046	2.8272816794136864	3.2072856829182284	0.95
13	6	leaf	G	x	2.8	0.1	False	2.7630237256146604	0.00906476063966791	0.09520903654416377	2.5764174429853415	2.9496300082439793	0.95
14	6	leaf	H	x	2.1	0.1	False	2.13180987309191	0.00906476063966791	0.09520903654416377	1.945203590462591	2.318416155721229	0.95
