simulation	branch_id	parent	node_class	name	value
1	0	-1	root	Root	0.01140464203302478
1	1	0	intnode	Left	0.191489485776113
1	3	1	intnode	AB	-0.3060553990773678
1	7	3	leaf	A	-0.5640134234495524
1	8	3	leaf	B	-0.5106623012301938
1	4	1	intnode	CD	-0.3730129641839246
1	9	4	leaf	C	-0.9658157975184369
1	10	4	leaf	D	-1.1238849310437684
1	2	0	intnode	Right	2.2651651508310806
1	5	2	intnode	EF	2.5131427232435923
1	11	5	leaf	E	2.1625885774322064
1	12	5	leaf	F	2.920427447204659
1	6	2	intnode	GH	2.6267048349584705
1	13	6	leaf	G	2.4622185272069217
1	14	6	leaf	H	2.4588595279784484
2	0	-1	root	Root	0.13178428868708233
2	1	0	intnode	Left	0.9282635040964453
2	3	1	intnode	AB	0.3571229994928662
2	7	3	leaf	A	0.5501277291464861
2	8	3	leaf	B	-0.06007064008096147
2	4	1	intnode	CD	0.03010123947747595
2	9	4	leaf	C	-0.6374748099945902
2	10	4	leaf	D	-0.7302676053329122
2	2	0	intnode	Right	2.2066955968680944
2	5	2	intnode	EF	2.765299560379053
2	11	5	leaf	E	2.1821968857189424
2	12	5	leaf	F	3.2176428241865054
2	6	2	intnode	GH	2.36887061613005
2	13	6	leaf	G	2.699886837969328
2	14	6	leaf	H	2.7663216079360056
3	0	-1	root	Root	0.08183508522895261
3	1	0	intnode	Left	-0.1738023950923021
3	3	1	intnode	AB	0.5824147402187975
3	7	3	leaf	A	-0.04470816136144995
3	8	3	leaf	B	0.527210180090094
3	4	1	intnode	CD	-0.46435200036418134
3	9	4	leaf	C	-1.0708280647037405
3	10	4	leaf	D	-1.4688370963704378
3	2	0	intnode	Right	2.18764057697314
3	5	2	intnode	EF	2.0499787375840572
3	11	5	leaf	E	2.0783871945468704
3	12	5	leaf	F	3.1616463235565777
3	6	2	intnode	GH	1.9074240840464582
3	13	6	leaf	G	2.4851638410471177
3	14	6	leaf	H	2.152168429372836
4	0	-1	root	Root	-0.388947028393723
4	1	0	intnode	Left	-0.21731140598074072
4	3	1	intnode	AB	-0.4051973628942606
4	7	3	leaf	A	-0.597101404386819
4	8	3	leaf	B	-0.3502863642706988
4	4	1	intnode	CD	-0.9020902139165408
4	9	4	leaf	C	-0.9289235971512197
4	10	4	leaf	D	-1.2741766950097635
4	2	0	intnode	Right	1.5292453574617066
4	5	2	intnode	EF	2.1936419703396677
4	11	5	leaf	E	2.375276868653868
4	12	5	leaf	F	3.177577680775883
4	6	2	intnode	GH	2.106433028064787
4	13	6	leaf	G	2.128559437819662
4	14	6	leaf	H	2.469443329871578
5	0	-1	root	Root	-0.5229876708406624
5	1	0	intnode	Left	-0.4504378474078347
5	3	1	intnode	AB	0.33522679700642083
5	7	3	leaf	A	0.34882488411187723
5	8	3	leaf	B	0.18951320565704688
5	4	1	intnode	CD	-0.9296705667520773
5	9	4	leaf	C	-1.2466428396466218
5	10	4	leaf	D	-1.4031673745637847
5	2	0	intnode	Right	2.0301716914632166
5	5	2	intnode	EF	2.619246905885708
5	11	5	leaf	E	2.216925697206907
5	12	5	leaf	F	3.4257169812067283
5	6	2	intnode	GH	2.0827643450314977
5	13	6	leaf	G	2.7790829021314667
5	14	6	leaf	H	2.7577228306959216
6	0	-1	root	Root	0.15404017280713786
6	1	0	intnode	Left	0.0629724247915706
6	3	1	intnode	AB	0.3394138124380599
6	7	3	leaf	A	0.4810557023079429
6	8	3	leaf	B	0.2920102144725154
6	4	1	intnode	CD	-0.5007471631701748
6	9	4	leaf	C	-1.207539011876353
6	10	4	leaf	D	-1.1133863045930978
6	2	0	intnode	Right	2.488044477153
6	5	2	intnode	EF	2.477767183573133
6	11	5	leaf	E	2.2986143340897245
6	12	5	leaf	F	3.556966394421145
6	6	2	intnode	GH	2.6504578587415217
6	13	6	leaf	G	2.366524322486851
6	14	6	leaf	H	2.6999304013206946
