leaf_name	individual_id	trait	value
A	1	x	2.8047152246405354
A	1	y	5.843563720161031
A	2	x	1.9341372031367299
A	2	y	5.517705370558631
A	3	x	3.3930379804196438
A	3	y	6.638996334434533
B	1	x	5.860102798703752
B	1	y	7.1114131685369815
B	2	x	6.12451438632807
B	2	y	7.837215389140999
B	3	x	5.746487099778293
B	3	y	6.869733767993754
B	4	x	6.276069279080827
B	4	y	7.500476666141265
C	1	x	4.142546848521627
C	1	y	7.1110466535115595
C	2	x	3.931823979467599
C	2	y	NA
C	3	x	2.3467899606914564
C	3	y	5.155743820997341
D	1	x	4.225800715583046
D	1	y	6.408079598575696
D	2	x	2.128360078165402
D	2	y	6.13313161310815
D	3	x	2.8107213086214715
D	3	y	7.186548402352266
D	4	x	1.913884985507355
D	4	y	6.2130431603489065
E	1	x	3.9098911766951847
E	1	y	7.465673057164593
E	2	x	4.215453046265754
E	2	y	7.035908366228802
E	3	x	2.2054654553254878
E	3	y	5.478842940124127
F	1	x	3.9256794852071586
F	1	y	5.804022785695048
F	2	x	2.049914714149791
F	2	y	6.268582858110494
F	3	x	3.381811552781222
F	3	y	4.958023112102324
F	4	x	2.9384002463328027
F	4	y	6.285916199009509
G	1	x	3.4744066445320145
G	1	y	6.173205856993986
G	2	x	2.290042375082646
G	2	y	6.344582470539181
G	3	x	2.943092824346297
G	3	y	6.089800904085283
H	1	x	5.629633816034399
H	1	y	8.048051373635788
H	2	x	5.280804045443821
H	2	y	8.707154742379569
H	3	x	5.711233252589134
H	3	y	8.692651653574869
H	4	x	5.575632981942566
H	4	y	8.597765690850697
