condition,family,seed,method,actual_estimator,status,age,truth,fitted_rate_sd,rate_variance_estimated,interval_status,interval_available,lower,upper,width,covered
t4-s2000-sd03,0,91300000,laplace,joint-map,completed,17.518554815854976,20.0,0.380919828416793,True,conditional-laplace,True,12.50723527049919,22.52987436121076,10.022639090711571,True
t4-s2000-sd03,0,91300000,studentized,joint-map,completed,17.518554815854976,20.0,0.380919828416793,True,conditional-studentized-curvature,True,12.05026309058514,33.64963670685284,21.599373616267695,True
t4-s2000-sd03,1,91300001,laplace,joint-map,completed,19.08727828686573,20.0,0.3600985762384601,True,conditional-laplace,True,13.363395790421656,24.811160783309813,11.447764992888157,True
t4-s2000-sd03,1,91300001,studentized,joint-map,completed,19.08727828686573,20.0,0.3600985762384601,True,conditional-studentized-curvature,True,12.637841952642583,36.51879475606976,23.880952803427174,True
t4-s2000-sd03,2,91300002,laplace,joint-map,completed,16.934357325461274,20.0,0.5845969620484245,True,unavailable-gaussian-interval-crosses-bound,False,,,,False
t4-s2000-sd03,2,91300002,studentized,joint-map,completed,16.934357325461274,20.0,0.5845969620484245,True,conditional-studentized-curvature,True,10.959532098684695,45.34497103048463,34.38543893179993,True
t4-s2000-sd03,3,91300003,laplace,marginal,completed,20.35352982038768,20.0,0.2431449418902952,True,conditional-laplace,True,15.79286193122574,24.91419770954961,9.121335778323871,True
t4-s2000-sd03,3,91300003,studentized,marginal,completed,20.35352982038768,20.0,0.2431449418902952,True,conditional-studentized-curvature,True,13.940707352345434,34.260257148182475,20.31954979583704,True
t4-s2000-sd03,4,91300004,laplace,joint-map,completed,22.98390190742765,20.0,0.3221641243086909,True,conditional-laplace,True,15.635021933335382,30.33278188151992,14.697759948184538,True
t4-s2000-sd03,4,91300004,studentized,joint-map,completed,22.98390190742765,20.0,0.3221641243086909,True,conditional-studentized-curvature,True,14.186099701791086,43.13276179365404,28.946662091862954,True
t4-s2000-sd03,5,91300005,laplace,joint-map,completed,20.498070253595717,20.0,0.1974514981394729,True,conditional-laplace,True,16.67466843449158,24.321472072699848,7.646803638208269,True
t4-s2000-sd03,5,91300005,studentized,joint-map,completed,20.498070253595717,20.0,0.1974514981394729,True,conditional-studentized-curvature,True,15.170839072458689,30.01848110661845,14.84764203415976,True
t4-s2000-sd03,6,91300006,laplace,joint-map,completed,25.442609847464624,20.0,0.3457898425483241,True,conditional-laplace,True,16.122019066311818,34.76320062861744,18.641181562305626,True
t4-s2000-sd03,6,91300006,studentized,joint-map,completed,25.442609847464624,20.0,0.3457898425483241,True,conditional-studentized-curvature,True,14.517048530714804,50.32747307028578,35.81042453957098,True
t4-s2000-sd03,7,91300007,laplace,joint-map,completed,20.73200274407789,20.0,0.3724889352460209,True,conditional-laplace,True,13.7435768173609,27.72042867079488,13.976851853433978,True
t4-s2000-sd03,7,91300007,studentized,joint-map,completed,20.73200274407789,20.0,0.3724889352460209,True,conditional-studentized-curvature,True,12.946789481796351,41.61545140673554,28.668661924939187,True
t4-s2000-sd03,8,91300008,laplace,joint-map,completed,20.84903681525042,20.0,0.3192765555639456,True,conditional-laplace,True,14.772457039657784,26.925616590843063,12.15315955118528,True
t4-s2000-sd03,8,91300008,studentized,joint-map,completed,20.84903681525042,20.0,0.3192765555639456,True,conditional-studentized-curvature,True,13.588558070413796,38.0335389009069,24.4449808304931,True
t4-s2000-sd03,9,91300009,laplace,joint-map,completed,24.52906384368207,20.0,0.4067732896025126,True,conditional-laplace,True,14.248549706482706,34.80957798088144,20.56102827439873,True
t4-s2000-sd03,9,91300009,studentized,joint-map,completed,24.52906384368207,20.0,0.4067732896025126,True,conditional-studentized-curvature,True,13.425841120840818,53.52590420379596,40.100063082955145,True
t4-s2000-sd03,10,91300010,laplace,joint-map,completed,21.360149461894395,20.0,0.185369142241206,True,conditional-laplace,True,17.331656826567738,25.38864209722105,8.056985270653314,True
t4-s2000-sd03,10,91300010,studentized,joint-map,completed,21.360149461894395,20.0,0.185369142241206,True,conditional-studentized-curvature,True,15.690534180100888,31.254478141779952,15.563943961679064,True
t4-s2000-sd03,11,91300011,laplace,joint-map,completed,20.3270916688883,20.0,0.2087688796216278,True,conditional-laplace,True,16.37734857976453,24.27683475801207,7.899486178247539,True
t4-s2000-sd03,11,91300011,studentized,joint-map,completed,20.3270916688883,20.0,0.2087688796216278,True,conditional-studentized-curvature,True,14.906470265618283,30.307198462720947,15.400728197102664,True
t4-s2000-sd03,12,91300012,laplace,joint-map,completed,27.23759665455436,20.0,0.1721377530446849,True,conditional-laplace,True,21.657651257006957,32.817542052101764,11.15989079509481,False
t4-s2000-sd03,12,91300012,studentized,joint-map,completed,27.23759665455436,20.0,0.1721377530446849,True,conditional-studentized-curvature,True,19.052054261959515,40.07502065209648,21.02296639013697,True
t4-s2000-sd03,13,91300013,laplace,joint-map,completed,24.771762051187327,20.0,0.2551338788673746,True,conditional-laplace,True,18.06323397966805,31.4802901227066,13.41705614303855,True
t4-s2000-sd03,13,91300013,studentized,joint-map,completed,24.771762051187327,20.0,0.2551338788673746,True,conditional-studentized-curvature,True,15.95850000727728,41.70326119903415,25.744761191756865,True
t4-s2000-sd03,14,91300014,laplace,joint-map,completed,19.56207193863709,20.0,0.3151266405448205,True,conditional-laplace,True,14.210186622540686,24.91395725473348,10.703770632192796,True
t4-s2000-sd03,14,91300014,studentized,joint-map,completed,19.56207193863709,20.0,0.3151266405448205,True,conditional-studentized-curvature,True,13.189638462804174,34.999406148939734,21.80976768613556,True
t4-s2000-sd03,15,91300015,laplace,joint-map,completed,18.26597887269477,20.0,0.0915708472489158,True,conditional-laplace,True,16.443476722296115,20.08848102309343,3.6450043007973134,True
t4-s2000-sd03,15,91300015,studentized,joint-map,completed,18.26597887269477,20.0,0.0915708472489158,True,conditional-studentized-curvature,True,15.42553758923342,22.3758780253321,6.950340436098678,True
t4-s2000-sd03,16,91300016,laplace,marginal,completed,16.887305774887285,20.0,0.368056690584926,True,conditional-laplace,True,12.389266185165068,21.385345364609503,8.996079179444434,True
t4-s2000-sd03,16,91300016,studentized,marginal,completed,16.887305774887285,20.0,0.368056690584926,True,conditional-studentized-curvature,True,11.662260125553916,34.06262317981356,22.40036305425965,True
t4-s2000-sd03,17,91300017,laplace,joint-map,completed,17.8470457427151,20.0,0.2372672207028812,True,conditional-laplace,True,14.450415105612583,21.24367637981761,6.79326127420503,True
t4-s2000-sd03,17,91300017,studentized,joint-map,completed,17.8470457427151,20.0,0.2372672207028812,True,conditional-studentized-curvature,True,13.399975767083006,26.97087664775648,13.57090088067347,True
t4-s2000-sd03,18,91300018,laplace,joint-map,completed,26.4647266337612,20.0,0.3552803549111095,True,conditional-laplace,True,16.291490470009617,36.6379627975128,20.346472327503182,True
