case	method	generated	p_available	rejection_given_available	coverage_given_interval	fit_failures	seconds
binomial-n30-alternative	wald	200	0.985	0.07614213197969544	0.9644670050761421	1	239.51949372785748
binomial-n30-boundary	wald	200	1.0	0.03	0.97	0	180.27292771011707
binomial-n30-comb	wald	200	1.0	0.04	0.96	0	191.6260545720579
binomial-n30-count-error	wald	200	1.0	0.06	0.98	0	207.99773068292416
binomial-n30-missing-mar	wald	200	0.985	0.030456852791878174	0.9695431472081218	0	167.06576929087169
binomial-n30-p0.05	wald	200	0.78	0.0	1.0	0	226.13958753205952
binomial-n30-p0.5	wald	200	0.995	0.020100502512562814	0.9798994974874372	0	186.29385824000929
binomial-n30-strong-phylogeny	wald	200	0.985	0.015228426395939087	0.9847715736040609	0	222.76819835268543
binomial-n60-p0.05	wald	200	0.955	0.020942408376963352	0.9790575916230366	0	474.5741080950538
binomial-n60-p0.5	wald	200	1.0	0.04	0.96	0	261.90870694920886
binomial-n8-p0.05	wald	200	0.31	0.0	1.0	0	48.62037268807762
binomial-n8-p0.5	wald	200	0.96	0.005208333333333333	0.9947916666666666	0	146.64666556418524
negative-binomial-n30	wald	200	0.985	0.08121827411167512	0.9187817258883249	0	122.06171492577414
negative-binomial-n30-boundary	wald	200	0.995	0.08542713567839195	0.914572864321608	0	99.61029099510051
negative-binomial-n30-count-error	wald	200	0.99	0.25252525252525254	0.898989898989899	0	119.40228510086308
negative-binomial-n30-missing-mar	wald	200	0.985	0.09137055837563451	0.9086294416243654	0	150.71693477296503
negative-binomial-n30-poisson-limit	wald	200	0.97	0.07216494845360824	0.9278350515463918	1	220.58075813596952
negative-binomial-n30-strong-phylogeny	wald	200	0.965	0.10880829015544041	0.8911917098445595	1	199.52363221909036
poisson-n30	wald	200	1.0	0.06	0.94	0	44.26744422709453
poisson-n30-boundary	wald	200	1.0	0.05	0.95	0	46.70438222604571
poisson-n30-count-error	wald	200	1.0	0.315	0.885	0	41.33296793606132
poisson-n30-missing-mar	wald	200	1.0	0.08	0.92	0	34.488239636819344
poisson-n30-strong-phylogeny	wald	200	0.995	0.04522613065326633	0.9547738693467337	0	59.97208586911438
poisson-n30-zero-inflation	wald	200	1.0	0.065	0.935	0	51.00587913725758
