case	method	generated	p_available	rejection_given_available	coverage_given_interval	fit_failures	seconds
binomial-n30-alternative	null-bootstrap	2	1.0	0.0	None	0	4.12742720998358
binomial-n30-alternative	parametric-bootstrap	2	1.0	0.0	0.5	0	3.0427285009645857
binomial-n30-alternative	profile-likelihood	2	0.5	0.0	1.0	1	32.403481472982094
binomial-n30-alternative	wald	2	1.0	0.0	1.0	0	0.5149010840104893
binomial-n30-boundary	null-bootstrap	2	1.0	0.0	None	0	4.430258127016714
binomial-n30-boundary	parametric-bootstrap	2	1.0	0.0	0.5	0	3.0445395430142526
binomial-n30-boundary	profile-likelihood	2	1.0	0.0	1.0	0	4.8967522110033315
binomial-n30-boundary	wald	2	1.0	0.0	1.0	0	0.3902319580083713
binomial-n30-comb	null-bootstrap	2	1.0	0.0	None	0	4.436723752005491
binomial-n30-comb	parametric-bootstrap	2	1.0	0.0	0.5	0	2.9018373760045506
binomial-n30-comb	profile-likelihood	2	1.0	0.5	0.5	0	5.494891793990973
binomial-n30-comb	wald	2	1.0	0.5	0.5	0	0.5519753750122618
binomial-n30-count-error	null-bootstrap	2	1.0	0.0	None	0	4.411223586008418
binomial-n30-count-error	parametric-bootstrap	2	1.0	0.0	0.5	0	2.600448293000227
binomial-n30-count-error	profile-likelihood	2	1.0	0.0	1.0	0	3.7464806259959005
binomial-n30-count-error	wald	2	1.0	0.0	1.0	0	0.410472375981044
binomial-n30-missing-mar	null-bootstrap	2	1.0	0.0	None	0	4.043939876981312
binomial-n30-missing-mar	parametric-bootstrap	2	1.0	0.0	0.0	0	2.9408775440242607
binomial-n30-missing-mar	profile-likelihood	2	1.0	0.0	1.0	0	6.025548878009431
binomial-n30-missing-mar	wald	2	1.0	0.0	1.0	0	0.3706097079848405
binomial-n30-p0.05	null-bootstrap	2	0.5	0.0	None	0	4.126134460006142
binomial-n30-p0.05	parametric-bootstrap	2	1.0	0.0	0.5	0	3.2010630430013407
binomial-n30-p0.05	profile-likelihood	2	1.0	0.0	1.0	0	17.743421882973053
binomial-n30-p0.05	wald	2	1.0	0.0	1.0	0	0.5123965000093449
binomial-n30-p0.5	null-bootstrap	2	1.0	0.0	None	0	3.349735542986309
binomial-n30-p0.5	parametric-bootstrap	2	1.0	0.0	0.5	0	2.0429366680036765
binomial-n30-p0.5	profile-likelihood	2	1.0	0.0	1.0	0	7.580179503012914
binomial-n30-p0.5	wald	2	1.0	0.0	1.0	0	0.3413384589657653
binomial-n30-strong-phylogeny	null-bootstrap	2	1.0	0.0	None	0	3.25072983498103
binomial-n30-strong-phylogeny	parametric-bootstrap	2	1.0	0.0	0.0	0	2.038927084999159
binomial-n30-strong-phylogeny	profile-likelihood	2	1.0	0.0	1.0	0	8.718166004982777
binomial-n30-strong-phylogeny	wald	2	1.0	0.0	1.0	0	0.3439407910045702
binomial-n60-p0.05	null-bootstrap	2	0.0	None	None	1	4.318824585003313
binomial-n60-p0.05	parametric-bootstrap	2	1.0	0.0	1.0	0	5.529154127987567
binomial-n60-p0.05	profile-likelihood	2	1.0	0.0	1.0	0	27.39169026297168
binomial-n60-p0.05	wald	2	1.0	0.0	1.0	0	1.0366185839811806
binomial-n60-p0.5	null-bootstrap	2	1.0	0.0	None	0	6.480365295021329
binomial-n60-p0.5	parametric-bootstrap	2	1.0	0.0	0.0	0	3.7258032509998884
binomial-n60-p0.5	profile-likelihood	2	1.0	0.0	1.0	0	19.161116925009992
binomial-n60-p0.5	wald	2	1.0	0.0	1.0	0	0.5198821670201141
binomial-n8-p0.05	null-bootstrap	2	0.0	None	None	0	0.0
