case	method	generated	p_available	rejection_given_available	coverage_given_interval	fit_failures	seconds
binomial-n30-alternative	wald	200	0.995	0.07537688442211055	0.964824120603015	0	75.18408215933596
binomial-n30-boundary	wald	200	0.995	0.03015075376884422	0.9698492462311558	0	58.03125577411265
binomial-n30-comb	wald	200	1.0	0.04	0.96	0	51.57087207317818
binomial-n30-count-error	wald	200	0.995	0.06030150753768844	0.9798994974874372	0	54.8019813139108
binomial-n30-missing-mar	wald	200	0.985	0.030456852791878174	0.9695431472081218	0	52.243223115452565
binomial-n30-p0.05	wald	200	0.78	0.0	1.0	0	62.76039432012476
binomial-n30-p0.5	wald	200	1.0	0.02	0.98	0	49.95496947984793
binomial-n30-strong-phylogeny	wald	200	0.985	0.015228426395939087	0.9847715736040609	0	58.565158360870555
binomial-n60-p0.05	wald	200	0.955	0.020942408376963352	0.9790575916230366	0	125.74839821911883
binomial-n60-p0.5	wald	200	1.0	0.04	0.96	0	73.45314578729449
binomial-n8-p0.05	wald	200	0.31	0.0	1.0	0	14.057029806106584
binomial-n8-p0.5	wald	200	0.96	0.005208333333333333	0.9947916666666666	0	53.57904569111997
negative-binomial-n30	wald	200	0.995	0.09547738693467336	0.9045226130653267	0	75.59961424721405
negative-binomial-n30-boundary	wald	200	0.99	0.08080808080808081	0.9191919191919192	0	47.781263020209735
negative-binomial-n30-count-error	wald	200	0.98	0.24489795918367346	0.8979591836734694	0	50.66524532306357
negative-binomial-n30-missing-mar	wald	200	0.985	0.10152284263959391	0.8984771573604061	0	92.32386096665869
negative-binomial-n30-poisson-limit	wald	200	0.965	0.05699481865284974	0.9430051813471503	0	177.47635145307868
negative-binomial-n30-strong-phylogeny	wald	200	0.95	0.11052631578947368	0.8894736842105263	0	173.89905099727912
poisson-n30	wald	200	1.0	0.06	0.94	0	26.30538658995647
poisson-n30-boundary	wald	200	1.0	0.05	0.95	0	14.288421964854933
poisson-n30-count-error	wald	200	1.0	0.315	0.885	0	16.283701260952512
poisson-n30-missing-mar	wald	200	1.0	0.08	0.92	0	13.122187591012334
poisson-n30-strong-phylogeny	wald	200	0.995	0.05527638190954774	0.9447236180904522	0	20.978937378968112
poisson-n30-zero-inflation	wald	200	1.0	0.07	0.93	0	16.79713367210934
rsc-e10	oracle	200	1.0	0.05	0.95	0	0.06711700308369473
rsc-e10	wald	200	1.0	0.055	0.945	0	4.15217178806779
rsc-e2	oracle	200	1.0	0.045	0.955	0	0.061056630103848875
rsc-e2	wald	200	1.0	0.03	0.97	0	4.312002384074731
rsc-e2-rank-ineligible	oracle	200	0.0	None	None	0	0.0
rsc-e2-rank-ineligible	wald	200	0.0	None	None	0	0.0
rsc-e20	oracle	200	1.0	0.05	0.95	0	0.08019458228955045
rsc-e20	wald	200	1.0	0.06	0.94	0	4.7916731648438144
rsc-e20-alternative	oracle	200	1.0	0.63	0.975	0	0.0693852020194754
rsc-e20-alternative	wald	200	1.0	0.55	0.975	0	4.830956040736055
rsc-e20-copies5	oracle	200	1.0	0.05	0.95	0	0.07717970793601125
rsc-e20-copies5	wald	200	1.0	0.0	1.0	0	66.8439848148555
rsc-e20-copies5-boundary	oracle	200	1.0	0.035	0.965	0	0.08820149817620404
rsc-e20-copies5-boundary	wald	200	1.0	0.0	1.0	0	73.92433140508365
rsc-e20-copies5-concentrated	oracle	200	1.0	0.075	0.925	0	0.067863122880226
rsc-e20-copies5-concentrated	wald	200	1.0	0.035	0.965	0	69.18058369119535
rsc-e20-copies5-lineage	oracle	200	1.0	0.05	0.95	0	0.08436996096861549
rsc-e20-copies5-lineage	wald	200	1.0	0.015	0.985	0	49.10083462388138
rsc-e20-copies5-working	oracle	200	1.0	0.045	0.955	0	0.09324379186728038
rsc-e20-copies5-working	wald	200	1.0	0.0	1.0	0	64.31782394996844
rsc-e20-joint-rho09	oracle	200	1.0	0.025	0.975	0	0.07166474900441244
rsc-e20-joint-rho09	wald	200	1.0	0.035	0.965	0	5.237513429805404
rsc-e20-joint-rho099	oracle	200	1.0	0.045	0.955	0	0.0628693797334563
rsc-e20-joint-rho099	wald	200	1.0	0.05	0.95	0	5.227872095885687
rsc-e20-missing-clade	oracle	200	1.0	0.045	0.955	0	0.0596087489684578
rsc-e20-missing-clade	wald	200	1.0	0.045	0.955	0	4.262242125085322
rsc-e20-missing-mar	oracle	200	1.0	0.065	0.935	0	0.05897641720366664
rsc-e20-missing-mar	wald	200	1.0	0.045	0.955	0	4.453279409877723
rsc-e20-missing-mcar	oracle	200	1.0	0.06	0.94	0	0.06924580110353418
rsc-e20-missing-mcar	wald	200	1.0	0.055	0.945	0	4.231222460948629
rsc-e20-missing-mnar	oracle	200	1.0	0.03	0.97	0	0.06208050192799419
rsc-e20-missing-mnar	wald	200	1.0	0.04	0.96	0	4.4313619649619795
rsc-e20-replicates	oracle	200	1.0	0.035	0.965	0	0.06915008489158936
rsc-e20-replicates	wald	200	1.0	0.045	0.955	0	6.043351084023016
rsc-e20-replicates-estimated-se	oracle	200	1.0	0.06	0.94	0	0.067606954369694
rsc-e20-replicates-estimated-se	wald	200	1.0	0.055	0.945	0	5.783339874818921
rsc-e20-replicates-predictor-error	oracle	200	1.0	0.03	0.97	0	0.0705413268879056
rsc-e20-replicates-predictor-error	wald	200	0.965	0.05181347150259067	0.9481865284974094	7	13.043440375215141
rsc-e3	oracle	200	1.0	0.05	0.95	0	0.057061466184677556
rsc-e3	wald	200	1.0	0.03	0.97	0	3.9539954260690138
rsc-e5	oracle	200	1.0	0.065	0.935	0	0.060110671794973314
rsc-e5	wald	200	1.0	0.05	0.95	0	3.9593201680399943
rsc-e5-copies5	oracle	200	1.0	0.065	0.935	0	0.06787308386992663
rsc-e5-copies5	wald	200	1.0	0.0	1.0	0	52.199514816951705
rsc-e5-copies5-boundary	oracle	200	1.0	0.06	0.94	0	0.06757617287803441
rsc-e5-copies5-boundary	wald	200	1.0	0.0	1.0	0	59.46725977800088
rsc-e5-copies5-concentrated	oracle	200	1.0	0.045	0.955	0	0.06761926086619496
rsc-e5-copies5-concentrated	wald	200	1.0	0.015	0.985	0	61.48424952890491
rsc-e5-copies5-lineage	oracle	200	1.0	0.04	0.96	0	0.0642123370198533
rsc-e5-copies5-lineage	wald	200	1.0	0.0	1.0	0	42.96721818292281
rsc-e5-copies5-working	oracle	200	1.0	0.05	0.95	0	0.0790673719602637
rsc-e5-copies5-working	wald	200	1.0	0.0	1.0	0	56.83034145421698
rsc-e50	oracle	200	1.0	0.045	0.955	0	0.07371775608044118
rsc-e50	wald	200	1.0	0.04	0.96	0	7.3761124637385365
