branch_id	parent	node_type	name	observed_state	is_imputed	map_state	map_probability	p_0	p_1
0	-1	root			False	0	0.8916905158175943	0.8916905158175943	0.1083094841824056
1	0	intnode			False	0	0.954438786958891	0.954438786958891	0.0455612130411091
2	0	tip	Amborella_trichopoda_XM_006852360	0	False	0	1.0	1.0	0.0
3	1	tip	Nymphaea_colorata_XM_031638555	0	False	0	1.0	1.0	0.0
4	1	intnode			False	0	0.9789123975748629	0.9789123975748629	0.021087602425137058
5	4	intnode			False	0	0.9839202526689463	0.9839202526689463	0.01607974733105363
6	4	intnode			False	0	0.9671891240281278	0.9671891240281278	0.03281087597187218
7	5	intnode			False	0	0.9957593207585518	0.9957593207585518	0.0042406792414482145
8	5	intnode			False	0	0.8814622608883207	0.8814622608883207	0.11853773911167932
9	6	tip	Hydrilla_verticillata_AF271161	0	False	0	1.0	1.0	0.0
10	6	intnode			False	0	0.959817695382838	0.959817695382838	0.040182304617162025
11	7	intnode			False	0	0.996405269445407	0.996405269445407	0.0035947305545930047
12	7	intnode			False	0	0.9747187171371379	0.9747187171371379	0.02528128286286217
13	8	intnode			False	0	0.8814611339377086	0.8814611339377086	0.11853886606229132
14	8	intnode			False	0	0.876911728426204	0.876911728426204	0.12308827157379597
15	10	tip	Vanilla_planifolia_X87148	0	False	0	1.0	1.0	0.0
16	10	intnode			False	0	0.9530252929151063	0.9530252929151063	0.0469747070848937
17	11	intnode			False	0	0.9893717292246306	0.9893717292246306	0.010628270775369411
18	11	intnode			False	0	0.9897101384806529	0.9897101384806529	0.010289861519347087
19	12	intnode			False	0	0.972285372200739	0.972285372200739	0.027714627799261052
20	12	tip	Solanum_tuberosum_AJ011844	0	False	0	1.0	1.0	0.0
21	13	intnode			False	0	0.8581962015071715	0.8581962015071715	0.14180379849282854
22	13	tip	Tidestromia_valdesiana_KJ161704	0	False	0	1.0	1.0	0.0
23	14	intnode			False	1	0.5876899802086153	0.41231001979138465	0.5876899802086153
24	14	tip	Beta_vulgaris_subsp._vulgaris_XM_010691525	0	False	0	1.0	1.0	0.0
25	16	intnode			False	0	0.9530184616325122	0.9530184616325122	0.046981538367487675
26	16	intnode			False	0	0.9517306193974507	0.9517306193974507	0.04826938060254927
27	17	tip	Gossypium_hirsutum_AF008939	0	False	0	1.0	1.0	0.0
28	17	intnode			False	0	0.9775641600892678	0.9775641600892678	0.02243583991073216
29	18	tip	Sesbania_rostrata_AJ286750	0	False	0	1.0	1.0	0.0
30	18	tip	Vitis_riparia_XM_034822303	0	False	0	1.0	1.0	0.0
31	19	intnode			False	0	0.9893023978873908	0.9893023978873908	0.010697602112609214
32	19	tip	Flaveria_trinervia_AF248080	0	False	0	1.0	1.0	0.0
33	21	intnode			False	0	0.971354189940844	0.971354189940844	0.028645810059156084
34	21	tip	Amaranthus_hypochondriacus_Z68125	1	False	1	1.0	0.0	1.0
35	23	intnode			False	1	0.592607562990968	0.407392437009032	0.592607562990968
36	23	tip	Suaeda_eltonica_DQ538354	1	False	1	1.0	0.0	1.0
37	25	intnode			False	0	0.9319994251915755	0.9319994251915755	0.06800057480842452
38	25	tip	Fimbristylis_littoralis_FN390837	1	False	1	1.0	0.0	1.0
39	26	intnode			False	0	0.9714020170374436	0.9714020170374436	0.028597982962556456
40	26	intnode			False	0	0.9224009355572002	0.9224009355572002	0.07759906444279985
41	28	tip	Citrus_sinensis_EF058158	0	False	0	1.0	1.0	0.0
42	28	tip	Arabidopsis_thaliana_NM_001036102	0	False	0	1.0	1.0	0.0
43	31	tip	Flaveria_trinervia_AF248079	0	False	0	1.0	1.0	0.0
44	31	intnode			False	0	0.9954323390187638	0.9954323390187638	0.004567660981236238
45	33	intnode			False	0	0.9579344806531105	0.9579344806531105	0.042065519346889485
46	33	tip	Alternanthera_sessilis_AY950667	0	False	0	1.0	1.0	0.0
47	35	intnode			False	1	0.9684624422507598	0.031537557749240254	0.9684624422507598
48	35	tip	Suaeda_linifolia_DQ538355	0	False	0	1.0	1.0	0.0
49	37	intnode			False	0	0.9151287355462406	0.9151287355462406	0.0848712644537594
50	37	intnode			False	0	0.9011670034055216	0.9011670034055216	0.09883299659447844
51	39	tip	Saccharum_hybrid_cultivar_H32-8560_M86661	0	False	0	1.0	1.0	0.0
52	39	tip	Oryza_sativa_Japonica_Group_NM_001050836	0	False	0	1.0	1.0	0.0
53	40	intnode			False	0	0.8421329390993477	0.8421329390993477	0.15786706090065217
54	40	intnode			False	0	0.76092505029379	0.76092505029379	0.23907494970621
55	44	intnode			False	0	0.9882838783029736	0.9882838783029736	0.0117161216970264
56	44	tip	Flaveria_pringlei_Z48966	0	False	0	1.0	1.0	0.0
57	45	tip	Alternanthera_pungens_AY950665	1	False	1	1.0	0.0	1.0
58	45	tip	Alternanthera_ficoidea_AY950666	0	False	0	1.0	1.0	0.0
59	47	tip	Bienertia_sinuspersici_DQ538352	1	False	1	1.0	0.0	1.0
60	47	tip	Suaeda_aralocaspica_DQ538353	1	False	1	1.0	0.0	1.0
61	49	intnode			False	0	0.954118307161188	0.954118307161188	0.045881692838811945
62	49	intnode			False	0	0.9970932905930755	0.9970932905930755	0.002906709406924458
63	50	intnode			False	0	0.9526892445500924	0.9526892445500924	0.047310755449907656
64	50	tip	Scirpoides_holoschoenus_subsp._thunbergii_FN390838	0	False	0	1.0	1.0	0.0
65	53	intnode			False	0	0.7113668225196909	0.7113668225196909	0.28863317748030914
66	53	tip	Oryza_sativa_Indica_Group_AY187619	0	False	0	1.0	1.0	0.0
67	54	intnode			False	0	0.972284896971118	0.972284896971118	0.027715103028882047
68	54	intnode			False	0	0.6897987365446309	0.6897987365446309	0.31020126345536914
