leaf_name	C4	C4_monocot	C4_dicot	crop
Nymphaea_colorata_XM_031638555	0	0	0	0
Gossypium_hirsutum_AF008939	0	0	0	1
Citrus_sinensis_EF058158	0	0	0	1
Arabidopsis_thaliana_NM_001036102	0	0	0	0
Sesbania_rostrata_AJ286750	0	0	0	0
Vitis_riparia_XM_034822303	0	0	0	1
Flaveria_trinervia_AF248079	0	0	0	0
Flaveria_brownii_AF494191	0	0	0	0
Flaveria_pubescens_AF494192	0	0	0	0
Flaveria_australasica_Z25853	1	0	1	0
Flaveria_pringlei_Z48966	0	0	0	0
Flaveria_trinervia_AF248080	0	0	0	0
Solanum_tuberosum_AJ011844	0	0	0	1
Alternanthera_pungens_AY950665	1	0	1	0
Alternanthera_ficoidea_AY950666	0	0	0	0
Alternanthera_sessilis_AY950667	0	0	0	0
Amaranthus_hypochondriacus_Z68125	1	0	1	1
Tidestromia_valdesiana_KJ161704	0	0	0	0
Bienertia_sinuspersici_DQ538352	1	0	1	0
Suaeda_aralocaspica_DQ538353	1	0	1	0
Suaeda_linifolia_DQ538355	0	0	0	0
Suaeda_eltonica_DQ538354	1	0	1	0
Beta_vulgaris_subsp._vulgaris_XM_010691525	0	0	0	1
Hydrilla_verticillata_AF271161	0	0	0	0
Vanilla_planifolia_X87148	0	0	0	1
Eleocharis_vivipara_AB085948	1	1	0	0
Fimbristylis_littoralis_FM208036	1	1	0	0
Fimbristylis_littoralis_FM208037	1	1	0	0
Cyperus_sanguinolentus_FM208046	1	1	0	0
Cyperus_eragrostis_FM208065	0	0	0	0
Cyperus_eragrostis_FM208066	0	0	0	0
Scirpoides_holoschoenus_subsp._thunbergii_FM208059	0	0	0	0
Carex_pendula_FM207998	0	0	0	0
Chrysitrix_dodii_FM208000	0	0	0	0
Cyperus_nipponicus_FN390839	0	0	0	0
Cyperus_nipponicus_FN390840	0	0	0	0
Chrysitrix_dodii_FM208067	0	0	0	0
Carex_pendula_FN390832	0	0	0	0
Scirpoides_holoschoenus_FN390833	0	0	0	0
Cyperus_sanguinolentus_FN390835	1	1	0	0
Cyperus_nipponicus_FN390836	0	0	0	0
Fimbristylis_littoralis_FN390834	1	1	0	0
Scirpoides_holoschoenus_subsp._thunbergii_FN390838	0	0	0	0
Fimbristylis_littoralis_FN390837	1	1	0	0
Saccharum_hybrid_cultivar_H32-8560_M86661	0	0	0	1
Oryza_sativa_Japonica_Group_NM_001050836	0	0	0	1
Triticum_aestivum_AJ007705	0	0	0	1
Sorghum_bicolor_X59925	1	1	0	1
Zea_mays_X61489	1	1	0	1
Oryza_sativa_Indica_Group_AY187619	0	0	0	1
Setaria_italica_AF495586	1	1	0	1
Zea_mays_X15239	1	1	0	1
Sorghum_bicolor_X17379	1	1	0	1
Cyrtococcum_patens_AM689877	0	0	0	0
Phragmites_australis_AM689880	0	0	0	0
Oryza_sativa_Japonica_Group_AK066635	0	0	0	1
Microlaena_stipoides_AM689896	0	0	0	0
Cyrtococcum_patens_AM689878	0	0	0	0
Hymenachne_amplexicaulis_AM689899	0	0	0	0
Arrhenatherum_elatius_AM689890	0	0	0	0
Phaenosperma_globosum_AM689882	0	0	0	0
Arundinaria_sp._Hodkinson_s.n._AM689891	0	0	0	0
Pharus_latifolius_AM689883	0	0	0	0
Streptochaeta_sodiroana_AM689887	0	0	0	0
Holcus_lanatus_AM690224	0	0	0	0
Oryza_sativa_Japonica_Group_AF271995	0	0	0	1
Echinochloa_crus-galli_AY251482	0	0	0	0
Setaria_italica_AY491400	1	1	0	1
Zea_mays_AB012228	1	1	0	1
Sorghum_bicolor_X55664	1	1	0	1
Amborella_trichopoda_XM_006852360	0	0	0	0
