Warning: nwkit/asr.py:_write_stochastic_map: complexity increased from 2 to 3; review the added branching.
Warning: nwkit/asr.py:asr_main: complexity increased from 4 to 7; review the added branching.
Warning: nwkit/cli.py:command_draw: complexity increased from 1 to 4; review the added branching.
Warning: nwkit/conventions.py:get_stdin_input_options: complexity increased from 6 to 8; review the added branching.
Warning: nwkit/convert.py:convert_tree_text: complexity increased from 10 to 12; review the added branching.
Warning: nwkit/draw.py:_draw_tree: complexity increased from 8 to 9; review the added branching.
Warning: nwkit/gaussian.py:effective_likelihood_settings: complexity increased from 9 to 10; review the added branching.
Warning: nwkit/ordinary_regression.py:_categorical_coefficient_rows: complexity increased from 17 to 19; review the added branching.
Warning: nwkit/ordinary_regression.py:fit_ordinary_regression: complexity increased from 29 to 34; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:_fit_scalar_phylogenetic_glmm: complexity increased from 23 to 24; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:_fixed_parameter_covariances: complexity increased from 8 to 9; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:_scalar_random_mode: complexity increased from 17 to 18; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:_validate_glmm_call_options: complexity increased from 22 to 40; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:_wald_coefficient_summary: complexity increased from 6 to 9; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:fit_phylogenetic_glmm: complexity increased from 21 to 25; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:summarize_glmm_coefficient: complexity increased from 7 to 13; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:summarize_glmm_omnibus: complexity increased from 2 to 4; review the added branching.
Warning: nwkit/phylogenetic_glmm.py:summarize_glmm_threshold: complexity increased from 3 to 5; review the added branching.
Warning: nwkit/provenance.py:_input_path_candidates: complexity increased from 23 to 28; review the added branching.
Warning: nwkit/provenance.py:_output_file_records: complexity increased from 18 to 19; review the added branching.
Warning: nwkit/provenance.py:_planned_output_records: complexity increased from 9 to 10; review the added branching.
Warning: nwkit/reconcile.py:reconcile_main: complexity increased from 2 to 8; review the added branching.
Warning: nwkit/regress.py:_append_lineage_inference_rows: complexity increased from 9 to 14; review the added branching.
Warning: nwkit/regress.py:_fit_covariance_model: complexity increased from 32 to 39; review the added branching.
Warning: nwkit/regress.py:_parametric_bootstrap_coefficients: complexity increased from 7 to 8; review the added branching.
Warning: nwkit/regress.py:_parametric_bootstrap_eiv_coefficients: complexity increased from 7 to 8; review the added branching.
Warning: nwkit/regression_pipeline.py:_fit_reconciled_gaussian_responses: complexity increased from 6 to 7; review the added branching.
Warning: nwkit/regression_pipeline.py:_reconciled_pglmm_rows: complexity increased from 18 to 20; review the added branching.
Warning: nwkit/regression_pipeline.py:build_regression_pipeline: complexity increased from 35 to 36; review the added branching.
Warning: nwkit/tree_formats.py:_node_suffix: complexity increased from 17 to 23; review the added branching.
Warning: nwkit/tree_formats.py:transform_annotations: complexity increased from 4 to 5; review the added branching.
Radon: 3275 functions, 6.77 average (informational), 50 maximum; all hard limits respected.
