Fri Sep 11 10:20:36 2026    reviews/native-scale-pilot-2026-09-11/results/fit100-profile.prof

         1716932 function calls (1714731 primitive calls) in 2.567 seconds

   Ordered by: cumulative time
   List reduced from 528 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.570    2.570 benchmark_scale_pilot.py:92(execute)
        1    0.000    0.000    2.509    2.509 shift_native_fit.py:419(fit_native_layout)
        1    0.000    0.000    2.506    2.506 shift_native_fit.py:273(fit_native_trait)
        3    0.000    0.000    2.487    0.829 shift_native_fit.py:235(_profile_alpha)
      146    0.000    0.000    2.483    0.017 shift_native_fit.py:162(at_alpha)
      146    0.003    0.000    2.483    0.017 shift_native_fit.py:106(analytic_scale)
      146    0.002    0.000    2.473    0.017 shift_native_fit.py:93(evaluate)
      146    0.027    0.000    2.470    0.017 shift_native_model.py:298(evaluate_trait)
        1    0.000    0.000    2.439    2.439 optimization.py:77(global_bounded_scalar_minimize)
      143    0.000    0.000    2.436    0.017 shift_native_fit.py:243(objective)
        4    0.000    0.000    2.131    0.533 optimization.py:61(_bounded_scalar_minimize)
        4    0.000    0.000    2.130    0.533 _minimize.py:785(minimize_scalar)
        4    0.002    0.001    2.130    0.533 _optimize.py:2251(_minimize_scalar_bounded)
      146    0.043    0.000    1.912    0.013 gaussian_whitening.py:196(tree_gls)
      146    1.343    0.009    1.357    0.009 linalg.py:789(qr)
      146    0.301    0.002    0.456    0.003 gaussian_whitening.py:83(build)
        1    0.000    0.000    0.308    0.308 optimization.py:86(<listcomp>)
      151    0.003    0.000    0.262    0.002 linalg.py:1825(matrix_rank)
      151    0.252    0.002    0.253    0.002 linalg.py:1499(svd)
      146    0.172    0.001    0.184    0.001 gaussian_whitening.py:158(apply)
      300    0.025    0.000    0.087    0.000 {built-in method builtins.any}
        1    0.001    0.001    0.060    0.060 benchmark_scale_pilot.py:28(fixture)
      149    0.048    0.000    0.056    0.000 shift_native_model.py:143(design)
      292    0.049    0.000    0.051    0.000 linalg.py:329(solve)
   292000    0.034    0.000    0.045    0.000 gaussian_whitening.py:95(<genexpr>)
        1    0.002    0.002    0.042    0.042 util.py:1274(read_tree)
        1    0.000    0.000    0.032    0.032 util.py:132(normalize_phylogenetic_tree_text)
   291708    0.029    0.000    0.029    0.000 {built-in method math.hypot}
        1    0.000    0.000    0.029    0.029 util.py:116(_convert_paml_figtree_intervals)
        1    0.003    0.003    0.029    0.029 tree_formats.py:402(transform_annotations)
      149    0.015    0.000    0.020    0.000 linalg.py:2383(norm)
        3    0.000    0.000    0.018    0.006 shift_native_fit.py:262(_require_observed_mean_rank)
      894    0.014    0.000    0.014    0.000 {built-in method numpy.zeros}
   146146    0.014    0.000    0.014    0.000 gaussian_whitening.py:103(<genexpr>)
   146147    0.014    0.000    0.014    0.000 {built-in method math.log}
